userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70046791;201505;2015-05-20;1.3;1.0;3.0;36.0;0.0;0.0;1.0;2.0;;1.0;0.0;0.0;;;;;;;;;;;;;;
70046832;201505;2015-05-28;0.6;0.0;4.0;37.0;0.0;0.0;1.0;0.0;;1.0;1.0;50.0;;;;;;;;;;;;;;
70046864;201505;2015-05-23;0.7;0.0;4.0;32.0;0.0;0.0;1.0;0.0;;2.0;5.0;1.0;;;;;;;;;;;;;;
70046888;201505;2015-05-28;0.9;1.0;3.0;44.0;0.0;0.0;1.0;1.0;;4.0;3.0;2.0;;;;;;;;;;;;;;
70046925;201505;2015-05-12;0.7;1.0;4.0;44.0;0.0;0.0;1.0;0.0;;2.5;5.0;50.0;;;;;;;;;;;;;;
70046953;201505;2015-05-18;4.0;1.0;2.0;56.0;0.0;0.0;1.0;0.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70046957;201505;2015-05-18;0.9;1.0;3.0;57.0;0.0;0.0;1.0;0.0;;3.0;5.0;20.0;;;;;;;;;;;;;;
70046961;201505;2015-05-15;0.8;0.0;3.0;43.0;0.0;0.0;1.0;2.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70046969;201505;2015-05-22;0.7;0.0;4.0;66.0;0.0;0.0;1.0;0.0;;4.0;8.0;60.0;;;;;;;;;;;;;;
70047016;201505;2015-05-13;0.8;1.0;3.0;65.0;0.0;0.0;0.0;0.0;;10.0;10.0;50.0;;;;;;;;;;;;;;
70047057;201505;2015-05-14;0.5;1.0;4.0;33.0;0.0;1.0;1.0;4.0;;1.0;-4.0;88.0;;;;;;;;;;;;;;
70047206;201505;2015-05-02;0.7;0.0;4.0;45.0;0.0;0.0;1.0;2.0;;4.0;3.0;51.0;;;;;;;;;;;;;;
70047291;201505;2015-05-05;0.8;1.0;3.0;54.0;1.0;0.0;0.0;1.0;;3.0;1.0;11.0;;;;;;;;;;;;;;
70047316;201505;2015-05-05;0.6;0.0;4.0;34.0;0.0;0.0;1.0;0.0;;5.0;6.0;80.0;;;;;;;;;;;;;;
70047402;201505;2015-05-18;0.8;1.0;3.0;56.0;0.0;0.0;1.0;0.0;;8.5;12.0;15.0;;;;;;;;;;;;;;
70047539;201505;2015-05-22;0.6;1.0;4.0;29.0;0.0;0.0;1.0;0.0;;1.0;3.0;53.0;;;;;;;;;;;;;;
70047565;201505;2015-05-17;4.8;0.0;2.0;36.0;0.0;0.0;1.0;0.0;;1.0;5.0;40.0;;;;;;;;;;;;;;
70047624;201505;2015-05-24;3.1;0.0;2.0;53.0;0.0;0.0;0.0;0.0;;3.0;-2.0;3.0;;;;;;;;;;;;;;
70047683;201505;2015-05-19;3.0;1.0;2.0;60.0;0.0;1.0;0.0;0.0;;1.0;2.0;5.0;;;;;;;;;;;;;;
70048032;201505;2015-05-20;1.0;0.0;3.0;32.0;0.0;0.0;1.0;2.0;;5.0;7.0;23.0;;;;;;;;;;;;;;
70048076;201505;2015-05-11;0.6;0.0;4.0;60.0;0.0;0.0;1.0;1.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70048083;201505;2015-05-17;4.2;0.0;2.0;27.0;0.0;0.0;0.0;1.0;;-15.0;5.0;10.0;;;;;;;;;;;;;;
70048088;201505;2015-05-03;0.7;1.0;4.0;23.0;0.0;1.0;1.0;1.0;;5.0;10.0;39.0;;;;;;;;;;;;;;
70048144;201505;2015-05-27;0.6;0.0;4.0;29.0;0.0;0.0;1.0;0.0;;5.0;2.0;26.0;;;;;;;;;;;;;;
70048158;201505;2015-05-15;0.7;0.0;3.0;67.0;0.0;0.0;1.0;0.0;;8.0;8.0;80.0;;;;;;;;;;;;;;
