userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70027252;201405;2014-05-21;0.8;0.0;3.0;78.0;0.0;0.0;;0.0;;3.0;4.0;10.0;;;;;;;;;;;;;;
70027572;201405;2014-05-11;0.6;0.0;4.0;35.0;0.0;1.0;;0.0;;1.0;2.0;40.0;;;;;;;;;;;;;;
70027580;201405;2014-05-12;0.5;0.0;4.0;51.0;0.0;1.0;;0.0;;2.0;5.0;65.0;;;;;;;;;;;;;;
70027598;201405;2014-05-11;1.0;0.0;3.0;52.0;0.0;0.0;;0.0;;2.0;-1.0;50.0;;;;;;;;;;;;;;
70027610;201405;2014-05-14;0.6;0.0;4.0;67.0;0.0;0.0;;0.0;;1.0;5.0;50.0;;;;;;;;;;;;;;
70027640;201405;2014-05-03;0.9;1.0;4.0;28.0;0.0;0.0;;1.0;;15.0;15.0;15.0;;;;;;;;;;;;;;
70027647;201405;2014-05-20;0.6;0.0;4.0;26.0;0.0;0.0;;0.0;;4.0;4.0;35.0;;;;;;;;;;;;;;
70027707;201405;2014-05-14;0.6;1.0;4.0;42.0;0.0;0.0;;2.0;;5.0;10.0;10.0;;;;;;;;;;;;;;
70027735;201405;2014-05-12;0.4;1.0;4.0;62.0;0.0;0.0;;0.0;;3.0;5.0;30.0;;;;;;;;;;;;;;
70027811;201405;2014-05-14;2.0;0.0;2.0;56.0;0.0;1.0;;0.0;;2.0;3.0;50.0;;;;;;;;;;;;;;
70027820;201405;2014-05-13;0.4;1.0;4.0;44.0;0.0;0.0;;1.0;;3.0;3.0;64.0;;;;;;;;;;;;;;
70029897;201405;2014-05-14;0.5;1.0;4.0;62.0;0.0;0.0;;1.0;;3.0;3.0;5.0;;;;;;;;;;;;;;
70029936;201405;2014-05-19;0.6;0.0;4.0;61.0;0.0;0.0;;0.0;;2.0;2.0;80.0;;;;;;;;;;;;;;
70029947;201405;2014-05-14;0.6;0.0;4.0;56.0;0.0;0.0;;0.0;;2.0;4.0;75.0;;;;;;;;;;;;;;
70029952;201405;2014-05-17;0.9;1.0;3.0;61.0;0.0;0.0;;0.0;;5.0;10.0;5.0;;;;;;;;;;;;;;
70029953;201405;2014-05-14;0.9;0.0;3.0;60.0;0.0;0.0;;0.0;;4.0;4.0;25.0;;;;;;;;;;;;;;
70029957;201405;2014-05-13;0.5;1.0;4.0;45.0;0.0;0.0;;1.0;;2.0;3.0;50.0;;;;;;;;;;;;;;
70029959;201405;2014-05-12;0.6;0.0;4.0;66.0;0.0;0.0;;0.0;;3.0;3.0;60.0;;;;;;;;;;;;;;
70029967;201405;2014-05-05;0.6;1.0;4.0;24.0;0.0;1.0;;0.0;;5.0;-3.0;3.0;;;;;;;;;;;;;;
70029970;201405;2014-05-16;0.5;1.0;4.0;49.0;0.0;0.0;;3.0;;6.0;2.0;1.0;;;;;;;;;;;;;;
70029972;201405;2014-05-13;0.8;1.0;3.0;43.0;0.0;0.0;;6.0;;3.0;-5.0;50.0;;;;;;;;;;;;;;
70029985;201405;2014-05-03;1.2;1.0;3.0;70.0;0.0;0.0;;0.0;;7.0;10.0;40.0;;;;;;;;;;;;;;
70029986;201405;2014-05-10;0.9;0.0;3.0;65.0;0.0;0.0;;0.0;;5.0;-20.0;25.0;;;;;;;;;;;;;;
70029987;201405;2014-05-20;0.6;1.0;4.0;47.0;0.0;0.0;;2.0;;4.0;7.0;40.0;;;;;;;;;;;;;;
70029991;201405;2014-05-12;0.5;0.0;4.0;61.0;0.0;0.0;;0.0;;2.0;5.0;75.0;;;;;;;;;;;;;;
70030004;201405;2014-05-03;1.2;1.0;3.0;71.0;0.0;0.0;;1.0;;15.0;10.0;30.0;;;;;;;;;;;;;;
70030011;201405;2014-05-19;0.6;1.0;4.0;41.0;0.0;0.0;;2.0;;4.0;8.0;60.0;;;;;;;;;;;;;;
70030021;201405;2014-05-18;0.8;0.0;4.0;39.0;0.0;0.0;;1.0;;3.0;5.0;75.0;;;;;;;;;;;;;;
70030036;201405;2014-05-17;0.8;0.0;3.0;40.0;0.0;0.0;;0.0;;2.5;1.3;23.0;;;;;;;;;;;;;;
70030040;201405;2014-05-02;1.0;0.0;3.0;56.0;0.0;0.0;;0.0;;6.0;8.0;60.0;;;;;;;;;;;;;;
70030043;201405;2014-05-15;2.5;1.0;2.0;60.0;0.0;0.0;;3.0;;2.0;5.0;29.0;;;;;;;;;;;;;;
70030081;201405;2014-05-14;0.6;1.0;4.0;35.0;0.0;0.0;;1.0;;2.0;5.0;67.0;;;;;;;;;;;;;;
70030091;201405;2014-05-14;0.8;0.0;3.0;53.0;0.0;0.0;;0.0;;3.0;-3.0;70.0;;;;;;;;;;;;;;
70030094;201405;2014-05-03;0.6;1.0;4.0;44.0;0.0;0.0;;1.0;;3.0;5.0;80.0;;;;;;;;;;;;;;
70030100;201405;2014-05-15;0.8;1.0;3.0;60.0;0.0;0.0;;0.0;;4.0;7.0;70.0;;;;;;;;;;;;;;
70030121;201405;2014-05-19;0.6;0.0;4.0;40.0;0.0;0.0;;0.0;;1.0;3.0;80.0;;;;;;;;;;;;;;
70030133;201405;2014-05-19;1.2;1.0;3.0;55.0;0.0;0.0;;3.0;;3.0;2.0;5.0;;;;;;;;;;;;;;
70030140;201405;2014-05-12;0.6;1.0;4.0;49.0;0.0;0.0;;0.0;;10.0;5.0;30.0;;;;;;;;;;;;;;
70030144;201405;2014-05-14;0.5;0.0;4.0;67.0;0.0;0.0;;0.0;;3.0;15.0;50.0;;;;;;;;;;;;;;
70030174;201405;2014-05-04;3.1;1.0;2.0;74.0;0.0;0.0;;0.0;;5.0;10.0;30.0;;;;;;;;;;;;;;
70030245;201405;2014-05-04;1.1;0.0;3.0;79.0;0.0;0.0;;0.0;;3.0;4.0;25.0;;;;;;;;;;;;;;
70030256;201405;2014-05-18;0.7;0.0;4.0;55.0;0.0;0.0;;0.0;;3.0;4.0;60.0;;;;;;;;;;;;;;
70030294;201405;2014-05-04;1.0;1.0;3.0;59.0;0.0;1.0;;3.0;;2.0;5.0;70.0;;;;;;;;;;;;;;
70030306;201405;2014-05-12;0.6;0.0;4.0;60.0;0.0;0.0;;0.0;;2.0;7.0;15.0;;;;;;;;;;;;;;
70030355;201405;2014-05-14;3.0;1.0;2.0;60.0;0.0;0.0;;0.0;;3.0;3.0;70.0;;;;;;;;;;;;;;
70030369;201405;2014-05-05;0.4;0.0;4.0;65.0;0.0;0.0;;0.0;;3.0;3.0;69.0;;;;;;;;;;;;;;
70030373;201405;2014-05-05;0.4;0.0;4.0;50.0;0.0;0.0;;2.0;;3.0;5.0;60.0;;;;;;;;;;;;;;
70030386;201405;2014-05-13;0.7;1.0;4.0;31.0;0.0;0.0;;2.0;;2.0;5.0;40.0;;;;;;;;;;;;;;
70030440;201405;2014-05-03;0.6;1.0;4.0;61.0;0.0;0.0;;0.0;;2.0;4.0;75.0;;;;;;;;;;;;;;
70030445;201405;2014-05-13;0.4;1.0;4.0;42.0;0.0;0.0;;2.0;;11.0;3.0;26.0;;;;;;;;;;;;;;
70030450;201405;2014-05-05;0.4;0.0;4.0;73.0;0.0;0.0;;0.0;;2.0;10.0;50.0;;;;;;;;;;;;;;
70030955;201405;2014-05-11;0.6;1.0;4.0;34.0;0.0;1.0;;1.0;;1.0;1.0;2.0;;;;;;;;;;;;;;
70032061;201405;2014-05-13;0.4;1.0;4.0;64.0;0.0;1.0;;0.0;;7.0;8.0;60.0;;;;;;;;;;;;;;
70032223;201405;2014-05-06;1.1;1.0;3.0;33.0;0.0;0.0;;2.0;;5.0;3.0;30.0;;;;;;;;;;;;;;
70032224;201405;2014-05-05;3.5;1.0;2.0;80.0;0.0;0.0;;0.0;;15.0;-2.0;10.0;;;;;;;;;;;;;;
70032234;201405;2014-05-02;1.3;1.0;3.0;64.0;0.0;0.0;;0.0;;1.0;2.0;29.0;;;;;;;;;;;;;;
70032239;201405;2014-05-18;0.7;1.0;4.0;27.0;0.0;0.0;;0.0;;2.0;3.0;50.0;;;;;;;;;;;;;;
70032241;201405;2014-05-06;0.9;0.0;3.0;65.0;0.0;0.0;;5.0;;3.5;7.0;75.0;;;;;;;;;;;;;;
70032247;201405;2014-05-19;0.6;1.0;4.0;59.0;0.0;1.0;;0.0;;12.0;8.0;10.0;;;;;;;;;;;;;;
70032255;201405;2014-05-16;0.7;1.0;4.0;35.0;0.0;0.0;;2.0;;3.0;1.0;3.0;;;;;;;;;;;;;;
70032270;201405;2014-05-06;0.6;0.0;4.0;66.0;0.0;0.0;;0.0;;2.5;2.0;39.0;;;;;;;;;;;;;;
70032285;201405;2014-05-12;0.7;1.0;3.0;60.0;0.0;0.0;;0.0;;3.0;5.0;10.0;;;;;;;;;;;;;;
70032325;201405;2014-05-13;0.9;0.0;3.0;73.0;0.0;0.0;;0.0;;10.0;10.0;5.0;;;;;;;;;;;;;;
70032326;201405;2014-05-11;1.7;1.0;3.0;23.0;1.0;0.0;;0.0;;8.0;2.0;25.0;;;;;;;;;;;;;;
70032346;201405;2014-05-05;0.5;0.0;4.0;58.0;0.0;1.0;;0.0;;2.0;7.0;60.0;;;;;;;;;;;;;;
70032360;201405;2014-05-13;1.0;1.0;3.0;82.0;0.0;0.0;;0.0;;2.0;15.0;70.0;;;;;;;;;;;;;;
70032367;201405;2014-05-05;0.7;1.0;3.0;41.0;0.0;0.0;;2.0;;5.0;5.0;29.0;;;;;;;;;;;;;;
