userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70021759;201403;2014-03-24;1.0;1.0;3.0;66.0;0.0;0.0;;0.0;;6.0;3.0;25.0;;;;;;;;;;;;;;
70021883;201403;2014-03-22;0.6;0.0;3.0;58.0;0.0;0.0;;0.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70021910;201403;2014-03-09;0.5;1.0;4.0;27.0;0.0;0.0;;0.0;;2.0;-2.0;50.0;;;;;;;;;;;;;;
70021971;201403;2014-03-18;0.7;0.0;3.0;64.0;0.0;0.0;;0.0;;6.0;5.0;20.0;;;;;;;;;;;;;;
70021992;201403;2014-03-04;0.5;1.0;4.0;51.0;0.0;0.0;;3.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70022007;201403;2014-03-07;0.6;1.0;4.0;30.0;0.0;0.0;;2.0;;1.0;5.0;50.0;;;;;;;;;;;;;;
70024010;201403;2014-03-04;0.9;1.0;3.0;65.0;0.0;0.0;;0.0;;15.0;5.0;50.0;;;;;;;;;;;;;;
70024025;201403;2014-03-09;1.1;0.0;3.0;62.0;0.0;0.0;;0.0;;1.7;10.0;50.0;;;;;;;;;;;;;;
70024053;201403;2014-03-03;0.4;1.0;4.0;59.0;0.0;0.0;;0.0;;3.0;5.0;65.0;;;;;;;;;;;;;;
70024058;201403;2014-03-05;0.6;1.0;4.0;55.0;0.0;0.0;;0.0;;5.0;8.0;75.0;;;;;;;;;;;;;;
70024122;201403;2014-03-04;0.5;0.0;4.0;62.0;0.0;0.0;;0.0;;4.0;4.0;15.0;;;;;;;;;;;;;;
70024143;201403;2014-03-03;0.7;0.0;4.0;63.0;0.0;0.0;;0.0;;3.5;5.0;50.0;;;;;;;;;;;;;;
70024150;201403;2014-03-03;0.4;1.0;4.0;57.0;0.0;0.0;;0.0;;10.0;10.0;20.0;;;;;;;;;;;;;;
70024151;201403;2014-03-03;0.7;1.0;4.0;38.0;0.0;0.0;;3.0;;3.0;2.0;40.0;;;;;;;;;;;;;;
70024164;201403;2014-03-03;0.7;1.0;3.0;59.0;0.0;0.0;;1.0;;15.0;5.0;30.0;;;;;;;;;;;;;;
70024167;201403;2014-03-03;0.6;1.0;4.0;56.0;0.0;0.0;;2.0;;6.0;10.0;56.0;;;;;;;;;;;;;;
70024170;201403;2014-03-04;0.6;0.0;4.0;43.0;0.0;0.0;;2.0;;2.0;3.0;50.0;;;;;;;;;;;;;;
70024171;201403;2014-03-04;0.8;1.0;3.0;49.0;0.0;0.0;;0.0;;3.0;3.0;50.0;;;;;;;;;;;;;;
70024201;201403;2014-03-12;2.2;0.0;2.0;53.0;0.0;0.0;;2.0;;5.0;10.0;10.0;;;;;;;;;;;;;;
70024211;201403;2014-03-18;0.5;0.0;4.0;63.0;0.0;0.0;;0.0;;5.0;10.0;60.0;;;;;;;;;;;;;;
70024223;201403;2014-03-04;2.4;1.0;1.0;58.0;0.0;0.0;;2.0;;10.0;10.0;35.0;;;;;;;;;;;;;;
70024260;201403;2014-03-08;0.7;1.0;4.0;63.0;0.0;0.0;;0.0;;5.0;2.0;20.0;;;;;;;;;;;;;;
70024324;201403;2014-03-07;0.9;0.0;3.0;57.0;0.0;0.0;;0.0;;5.0;3.0;55.0;;;;;;;;;;;;;;
70024328;201403;2014-03-10;0.5;1.0;4.0;27.0;0.0;0.0;;0.0;;2.0;4.0;6.0;;;;;;;;;;;;;;
70024372;201403;2014-03-13;0.5;0.0;4.0;51.0;0.0;0.0;;1.0;;2.0;8.0;65.0;;;;;;;;;;;;;;
70024373;201403;2014-03-04;0.6;0.0;4.0;64.0;0.0;0.0;;0.0;;4.0;8.0;65.0;;;;;;;;;;;;;;
70024378;201403;2014-03-14;0.8;0.0;3.0;44.0;0.0;0.0;;4.0;;3.0;5.0;10.0;;;;;;;;;;;;;;
70024388;201403;2014-03-04;0.8;1.0;3.0;52.0;0.0;0.0;;2.0;;7.0;10.0;29.0;;;;;;;;;;;;;;
70024393;201403;2014-03-18;0.8;1.0;4.0;28.0;0.0;0.0;;0.0;;12.0;5.0;35.0;;;;;;;;;;;;;;
70024406;201403;2014-03-05;0.6;0.0;4.0;67.0;0.0;0.0;;0.0;;4.0;5.0;50.0;;;;;;;;;;;;;;
70024408;201403;2014-03-17;0.6;1.0;3.0;51.0;0.0;0.0;;1.0;;2.0;1.0;40.0;;;;;;;;;;;;;;
70024413;201403;2014-03-06;3.5;1.0;2.0;34.0;0.0;0.0;;2.0;;3.0;3.0;50.0;;;;;;;;;;;;;;
70024416;201403;2014-03-17;0.5;1.0;4.0;52.0;0.0;0.0;;2.0;;9.0;10.0;25.0;;;;;;;;;;;;;;
70024434;201403;2014-03-14;0.4;1.0;4.0;54.0;0.0;0.0;;0.0;;-2.0;2.0;10.0;;;;;;;;;;;;;;
70024436;201403;2014-03-08;0.4;0.0;4.0;54.0;0.0;0.0;;0.0;;8.0;5.0;80.0;;;;;;;;;;;;;;
70024468;201403;2014-03-04;0.4;0.0;4.0;72.0;0.0;0.0;;0.0;;12.0;5.0;50.0;;;;;;;;;;;;;;
70024470;201403;2014-03-13;2.1;0.0;2.0;74.0;0.0;0.0;;0.0;;4.0;5.0;10.0;;;;;;;;;;;;;;
70024485;201403;2014-03-05;1.1;1.0;;60.0;0.0;0.0;;1.0;;2.0;7.0;65.0;;;;;;;;;;;;;;
70024490;201403;2014-03-16;0.4;1.0;4.0;54.0;0.0;0.0;;1.0;;3.0;2.0;70.0;;;;;;;;;;;;;;
70024496;201403;2014-03-13;0.7;1.0;3.0;64.0;0.0;0.0;;1.0;;15.0;8.0;20.0;;;;;;;;;;;;;;
70024500;201403;2014-03-04;0.6;0.0;4.0;41.0;0.0;0.0;;0.0;;10.0;5.0;39.0;;;;;;;;;;;;;;
70024509;201403;2014-03-18;0.5;0.0;4.0;32.0;0.0;1.0;;1.0;;10.0;5.0;30.0;;;;;;;;;;;;;;
70024521;201403;2014-03-04;0.6;1.0;3.0;49.0;0.0;0.0;;0.0;;3.0;3.0;32.0;;;;;;;;;;;;;;
70024535;201403;2014-03-03;2.1;0.0;2.0;81.0;0.0;0.0;;0.0;;5.0;5.0;10.0;;;;;;;;;;;;;;
70024559;201403;2014-03-18;0.9;0.0;3.0;51.0;0.0;0.0;;0.0;;2.3;5.0;20.0;;;;;;;;;;;;;;
70024586;201403;2014-03-27;0.8;1.0;3.0;27.0;0.0;0.0;;2.0;;3.0;0.0;50.0;;;;;;;;;;;;;;
70024592;201403;2014-03-07;0.6;1.0;3.0;59.0;0.0;0.0;;0.0;;7.0;5.0;7.0;;;;;;;;;;;;;;
70024605;201403;2014-03-13;3.5;0.0;2.0;32.0;0.0;0.0;;2.0;;2.0;5.0;82.0;;;;;;;;;;;;;;
70024705;201403;2014-03-21;0.8;0.0;3.0;23.0;0.0;0.0;;1.0;;3.0;2.0;54.0;;;;;;;;;;;;;;
70024720;201403;2014-03-04;0.4;0.0;4.0;65.0;0.0;0.0;;0.0;;4.0;5.0;50.0;;;;;;;;;;;;;;
70024744;201403;2014-03-03;0.5;0.0;4.0;52.0;0.0;0.0;;2.0;;1.8;2.8;40.0;;;;;;;;;;;;;;
70024764;201403;2014-03-13;0.4;1.0;4.0;46.0;0.0;0.0;;0.0;;2.0;5.0;70.0;;;;;;;;;;;;;;
70024781;201403;2014-03-10;0.7;1.0;3.0;61.0;0.0;0.0;;0.0;;1.0;3.0;90.0;;;;;;;;;;;;;;
70024783;201403;2014-03-19;0.6;0.0;4.0;34.0;0.0;0.0;;2.0;;4.0;-1.0;60.0;;;;;;;;;;;;;;
70024802;201403;2014-03-15;2.4;0.0;2.0;60.0;0.0;0.0;;2.0;;12.0;15.0;70.0;;;;;;;;;;;;;;
70024809;201403;2014-03-10;0.7;1.0;3.0;63.0;0.0;0.0;;0.0;;3.0;10.0;60.0;;;;;;;;;;;;;;
70024815;201403;2014-03-04;0.6;0.0;4.0;38.0;0.0;0.0;;0.0;;1.5;3.0;50.0;;;;;;;;;;;;;;
